id,status,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure
45,0,temp,,,3,,low,,
46,1,engineering,,,2,,low,0.401974707,3
47,1,support,,0.842357313,5,,medium,0.803068372,6
48,1,sales,,0.766255776,7,,low,0.148641754,4
49,0,engineering,,0.988904842,4,,medium,0.456248436,2
50,0,sales,,0.598749269,4,,low,0.869204284,2
51,0,sales,,0.74494677,6,,low,0.75962,6
52,0,sales,,0.765783959,5,,low,0.711329117,3
53,0,support,,0.561019606,5,,medium,0.905668552,2
54,0,sales,,0.910270844,4,,medium,0.615978244,10
55,1,sales,,0.533361921,2,,low,0.38807014,3
56,0,marketing,,0.713746664,2,,low,0.967868021,3
57,1,engineering,,0.932526594,7,,medium,0.061173623,4
58,0,product,1,0.494479275,3,,medium,0.492376555,3
59,0,finance,1,0.735849779,4,,high,0.928861452,2
60,0,IT,,0.734682888,3,,low,0.213485172,5
61,1,management,,0.535231622,2,,low,0.429822085,3
62,1,product,,0.813773773,7,,low,0.146593185,4
63,0,engineering,,0.522047697,4,,low,0.851394379,2
64,1,sales,,0.531577279,2,,low,0.401953819,3
65,0,,,0.69410072,3,,low,0.556401859,3
66,1,engineering,,0.749982471,2,,medium,0.526960725,2
67,1,marketing,,0.483106968,2,,low,0.43881927,3
68,0,product,,0.573595902,2,,low,0.894658513,3
69,0,support,,0.932462217,3,,medium,0.810725322,3
70,0,finance,,,4,,low,0.862683386,3
71,0,sales,,0.586132024,5,,medium,0.703755789,2
72,0,engineering,,0.606090193,4,,low,0.274144974,5
73,0,sales,,0.801731336,5,,medium,0.129582617,4
74,0,sales,,0.589119715,4,,low,0.475901904,2
75,0,IT,,0.716132846,3,,low,0.786998508,3
76,0,support,,0.328416715,5,,medium,0.461553349,3
77,0,engineering,,0.707901457,5,,low,0.83158224,3
78,0,sales,,1,3,,medium,0.527417463,6
79,1,support,,0.583222824,2,,low,0.47794849,3
80,0,sales,,0.999150412,2,,medium,0.503040551,2
81,0,support,,0.789082021,3,,low,0.725231676,4
82,0,marketing,,0.502562826,3,,low,0.635503289,5
83,0,IT,,0.859763957,3,,medium,0.729667531,2
84,0,sales,,0.502258814,3,,low,0.800482238,3
85,1,support,,0.543576313,2,,low,0.352520083,3
86,0,sales,,,3,,low,0.549054593,2
87,0,IT,,,3,,low,0.550003652,3
88,0,,,0.51179362,4,,low,0.632133264,3
89,0,IT,1,,4,,low,0.969407787,2
90,0,product,1,0.674893831,3,,medium,0.547941154,3
91,0,support,,0.801322765,4,,low,0.526745455,3
92,0,engineering,,0.91845009,4,,low,0.914882605,3
93,0,sales,1,0.38962669,3,,low,0.394051565,3
94,1,engineering,,0.557437297,2,,medium,0.471104659,3
95,0,engineering,,0.871911091,4,,medium,0.696053471,2
96,1,support,,1,5,,low,0.734579415,5
97,0,product,,0.518013684,2,,low,0.352082286,3
98,0,marketing,,0.680370266,4,,medium,0.189115472,5
99,0,product,,0.495033515,3,,medium,0.576405945,3
100,0,support,,0.598530648,5,,low,0.769536381,3
101,0,,,0.766544821,3,,low,0.851892327,3
102,0,engineering,,,4,,low,0.771816992,3
103,0,support,,0.838420071,3,,low,0.598248189,4
104,0,engineering,,0.625649373,5,,low,0.48711385,2
105,0,sales,,0.927717667,4,,medium,0.792414076,3
106,0,,,0.695097614,2,,medium,0.611688697,5
107,1,IT,,0.969304005,6,,low,0.172048603,4
108,1,sales,,0.858179169,7,,medium,0.14712497,4
109,0,support,,0.725018809,4,,low,0.762030408,3
110,1,sales,,0.86223674,7,,low,0.09798443,4
111,0,engineering,,0.630154828,3,,medium,0.081563741,6
112,0,IT,,0.560171576,3,,medium,0.736063189,3
113,0,sales,,0.947729025,4,,high,0.355979751,7
114,0,management,,,4,,high,0.6236264,3
115,0,management,1,,3,,high,0.745388743,2
116,0,sales,,0.872041703,3,,low,0.694190318,5
117,1,engineering,,0.451192122,2,,low,0.39165186,3
118,1,support,,1,5,,medium,0.700604106,5
119,0,IT,,0.725723556,4,,low,0.785723887,3
120,0,product,,0.872785534,3,,medium,0.53186313,2
121,0,,,0.583870365,3,,low,0.381824396,3
122,0,sales,,0.890712724,3,,low,0.76176503,2
123,0,engineering,,0.797235381,5,,low,0.851411584,3
124,0,sales,1,0.845078319,4,,low,0.309868647,3
125,1,,,0.559400039,2,,low,0.444263577,3
126,1,IT,,0.500957306,2,,low,0.411233749,3
127,0,IT,,0.421692216,6,,medium,0.606946726,3
128,0,sales,,0.534309122,5,,high,0.969190798,2
129,0,product,,0.425131894,5,,medium,0.565407294,4
130,0,sales,,0.770463824,3,,high,0.543262177,3
131,0,information_technology,,0.905180515,3,,low,0.93331322,2
132,1,sales,,0.473026924,2,,low,0.443427764,3
133,0,product,,0.506201223,2,,medium,0.454911642,5
134,1,support,,0.873045465,3,,low,0.553442105,2
135,0,sales,1,0.828825764,5,,low,0.832955696,2
136,0,engineering,,0.725963978,2,,medium,0.452392398,2
137,0,sales,1,0.896942281,4,,low,0.741786835,3
138,0,management,,0.635545736,5,,medium,0.956238934,3
139,0,support,,0.840207779,4,,low,0.468987246,2
140,0,procurement,,0.626653132,3,,low,0.90615931,8
141,0,engineering,,0.86812102,3,,high,0.961235399,3
142,0,sales,,0.907731549,5,,medium,0.972423058,3
143,0,sales,,0.403619418,3,,medium,0.284677296,3
144,1,sales,,0.777881167,7,,low,0.114724687,4
145,1,sales,,0.85938383,5,,low,0.933486377,5
146,0,product,,0.52409506,3,,low,0.63172969,2
147,0,support,,0.866158287,5,,low,0.293123235,6
148,1,engineering,,1,5,,medium,0.852952126,5
149,0,support,,0.643410637,4,,low,0.161553642,5
150,0,support,1,0.76736907,3,,medium,0.248522035,4
151,1,finance,,0.538478484,2,,medium,0.467529517,3
152,0,sales,1,0.950282238,4,,low,0.672060063,2
153,0,sales,1,0.811500421,4,,low,0.839058814,2
154,0,support,1,1,3,,low,0.705585359,6
155,0,engineering,1,0.358995978,3,,low,0.623106482,4
156,1,sales,,0.489904811,2,,low,0.666894022,4
157,1,marketing,,0.519776983,2,,low,0.37246341,3
158,0,product,,0.437142716,4,,high,0.63120029,3
159,0,IT,1,0.615510631,5,,medium,0.23703056,4
160,1,sales,,0.547034374,4,,low,0.505421912,4
161,0,admin,,0.539467271,4,,low,0.831444386,4
162,0,support,,0.789125351,5,,low,0.780337176,4
163,1,marketing,,0.870856423,4,,low,0.82974563,5
164,0,sales,,0.557354737,5,,medium,0.729650605,6
165,0,sales,,0.661489035,2,,low,0.486900105,8
166,0,sales,,0.690941338,3,,medium,0.872122928,3
167,0,management,,0.560749082,5,,medium,0.792703877,4
168,0,engineering,,0.864980948,4,,medium,0.547342771,2
169,1,IT,,0.879114108,5,,low,0.789346881,5
170,0,finance,1,0.420018285,4,,low,0.371534724,2
171,0,marketing,,,5,,medium,0.933851071,2
172,0,management,,0.960285715,4,,high,0.681413303,3
173,0,,,0.778952707,4,,medium,0.770546468,6
174,0,sales,,0.531936759,4,,medium,0.190744826,7
175,0,IT,,0.615938074,4,,low,0.947393875,5
176,0,engineering,,0.897609839,3,,medium,0.94614471,3
177,0,management,,0.60280758,4,1,high,0.894854283,7
178,1,sales,,0.948757982,6,,low,0.152192723,4
179,0,sales,,0.874794039,3,,low,1,3
180,0,information_technology,,0.931466717,4,,medium,0.63575761,2
181,0,sales,,0.667988996,2,,low,0.893746528,4
182,1,sales,,0.87432046,6,,low,0.041301712,4
183,0,,,0.723364873,5,,low,0.534218145,2
184,1,support,,0.588430038,5,,low,0.546394858,4
185,1,,,0.981290494,6,,medium,0.063589258,4
186,0,support,,0.543301857,4,,low,0.581044903,4
187,0,support,,0.396084595,3,,low,0.218914617,5
188,0,support,,0.568593437,3,,low,0.716163505,4
189,0,engineering,,0.836247906,5,,low,0.783391447,4
190,0,marketing,,0.582062894,2,,low,0.784731507,2
191,1,product,,0.919373591,4,,low,0.829871872,5
192,0,IT,1,0.816689814,4,,low,0.834378675,3
193,0,engineering,,0.676225844,3,,medium,0.292929572,2
194,0,engineering,,,4,,low,0.873812695,3
195,1,sales,,,5,,low,0.326353372,2
196,0,finance,,0.725670905,3,,medium,0.750231784,4
197,0,sales,,0.964847579,5,1,medium,0.889826977,3
198,0,sales,,1,2,,low,0.248174994,3
199,0,,,0.954191046,2,,low,0.583854409,2
200,1,marketing,,0.505558308,2,,low,0.420327396,3
201,1,support,,0.88576585,6,,low,0.29474173,5
202,0,engineering,,0.831322416,5,,medium,0.995278007,4
203,0,sales,,0.640118805,3,,medium,0.638738856,3
204,0,,,0.883595218,4,,medium,0.925668188,2
205,1,support,,0.402660372,2,,medium,0.437359473,3
206,0,product,,0.80930227,3,,high,0.463828674,2
207,0,support,,0.555112083,3,,low,0.682987766,3
208,0,,,0.926769785,3,,low,0.875167875,2
209,1,sales,,0.915881389,4,,low,0.882138138,5
210,1,support,,0.619823018,2,,low,0.524761713,3
211,0,sales,,0.672234591,3,,medium,0.718742747,4
212,0,sales,,0.983301705,4,,high,0.834831795,2
213,0,sales,,0.557827629,4,,high,0.946873069,5
214,1,support,,0.885106066,5,,medium,0.794340394,6
215,0,support,,0.443884581,2,,low,0.530736921,2
216,0,sales,,0.70083551,4,,low,0.776922013,3
217,1,sales,,0.501879664,2,,low,0.497401978,3
218,0,sales,,0.668790393,4,,medium,0.911823501,2
219,1,support,,0.957495483,6,,medium,0.06848838,4
220,0,management,,0.781828644,4,,high,0.703745934,3
221,0,sales,,0.81133575,4,,low,0.737229323,2
222,0,support,,0.407778539,3,,medium,0.633255106,6
223,1,finance,,0.845605427,6,,medium,0.10288247,4
224,0,support,,0.921436202,5,,low,0.567765322,2
225,0,IT,,0.662768618,4,,medium,0.573997862,2
226,0,information_technology,,0.606593988,3,,low,0.579431608,3
227,1,engineering,1,0.834331886,6,,low,0.127897465,4
228,0,engineering,,0.856343723,5,,low,0.623389568,3
229,0,support,,0.772785656,4,,medium,0.829761341,3
230,0,sales,,,3,,medium,0.45196129,3
231,0,marketing,,,3,,medium,0.729327344,2
232,1,engineering,,0.935780677,4,,medium,0.964425982,5
233,0,sales,,0.575457056,3,,medium,0.921557036,3
234,1,IT,,0.812303998,6,,medium,0.044844109,4
235,0,sales,,0.430214501,4,,low,0.319175891,2
236,1,product,,0.470466923,2,,low,0.408640714,3
237,1,marketing,,0.547320382,2,,low,0.341206158,3
238,1,engineering,,0.937830749,5,,low,0.152143751,4
239,0,marketing,1,0.654988147,6,,medium,0.743338094,4
240,0,engineering,,0.608738573,4,,high,0.557744024,3
241,1,IT,,0.896967279,5,,medium,0.938703314,5
242,0,sales,,0.587849956,4,,low,0.794786308,4
243,0,management,,0.918022859,4,,medium,0.661007788,2
244,0,admin,,0.722839486,4,,medium,0.910598382,4
245,0,support,,0.874513192,4,,high,0.48075307,2
246,1,product,,0.439785251,2,,low,0.340777989,3
247,1,engineering,,0.747105843,3,,low,0.855362185,4
248,0,engineering,,0.809890762,4,1,medium,0.747699652,3
249,0,sales,1,0.68394074,3,,medium,0.587527383,3
250,0,sales,,0.52323211,3,,low,0.529079006,2
251,0,sales,,0.688970082,5,,medium,0.691658302,7
252,0,engineering,,0.914324282,5,,low,0.679091976,3
253,0,temp,,,1,,low,,
254,0,sales,,0.881951255,3,,medium,0.807293307,3
255,0,sales,,0.797551377,3,,medium,0.809674388,3
256,0,,1,0.775716409,4,,medium,0.870238074,3
257,0,engineering,,0.626425378,4,,medium,0.567430426,4
258,1,sales,,0.492048066,2,,low,0.400385079,3
259,0,engineering,,0.735476323,6,,low,0.837665155,4
260,1,IT,,0.546333238,2,,low,0.391486854,3
261,1,,,0.93720218,4,,low,0.745604096,5
262,0,support,,0.669369532,6,,medium,0.51328958,3
263,1,engineering,,0.782624132,6,,low,0.056796462,4
264,0,engineering,1,0.94693205,4,,medium,0.46917488,3
265,0,,,0.483043891,3,,medium,0.654685819,3
266,1,engineering,,0.932577711,6,,low,0.149254771,4
267,0,sales,,0.715695137,4,,medium,0.797199339,3
268,0,engineering,,0.695768463,4,,high,0.874733519,3
269,0,management,,0.558828548,2,,medium,0.322313897,2
270,0,information_technology,,0.755850362,4,1,medium,0.802298836,3
271,0,admin,,,3,,medium,1,3
272,0,finance,1,0.465232048,3,,medium,0.56061647,6
273,1,support,,0.460142187,2,,low,0.394719458,3
274,0,sales,,0.934856575,5,,medium,0.628427005,5
275,1,support,,1,5,,medium,0.763318737,5
276,0,IT,,0.927306096,4,,low,0.549252851,4
277,1,,,0.470259372,2,,high,0.455563316,3
278,0,support,,0.592567612,3,,medium,0.584325275,3
279,0,sales,,0.872945548,3,,high,0.679167197,7
280,0,support,1,0.810456447,4,,low,0.84832278,2
281,0,IT,,0.787146266,4,,medium,0.86527196,2
282,1,IT,,0.855277604,5,,low,0.141536431,4
283,0,management,,0.542174831,4,1,medium,0.673397028,7
284,0,procurement,,0.697251215,5,,medium,0.720455911,3
285,0,product,,0.91890531,5,,low,0.727818116,5
286,0,engineering,,0.887557921,3,,low,0.537563302,2
287,1,sales,,0.587762987,2,,low,0.429998207,3
288,0,engineering,,0.508272947,4,,high,0.576594974,3
289,0,finance,,0.809748292,6,,medium,0.708500811,3
290,0,engineering,,0.978247937,5,,medium,0.591558863,2
291,0,IT,,0.482528934,3,,medium,0.728936842,3
292,0,temp,,,2,,low,,
293,0,sales,1,0.82054431,6,,high,1,4
294,0,,,0.881506799,3,,medium,0.683904151,6
295,0,management,,0.804382999,3,,high,0.464175772,2
296,0,finance,,0.484329207,5,,high,0.842398847,2
297,0,IT,,0.324238731,3,,low,0.704781642,6
298,0,sales,,0.667318627,2,,high,0.454341666,3
299,1,IT,,0.619474229,2,,low,0.438450195,3
300,0,engineering,1,0.535500741,4,,low,0.824315564,2
301,0,support,,0.6481067,5,,medium,0.193505896,3
302,0,sales,,0.760090921,4,,low,0.522014218,3
303,0,IT,,0.774788809,4,,low,0.553170586,2
304,1,support,,1,5,,low,0.849292965,5
305,0,engineering,,0.617768836,4,,low,0.925228859,2
306,1,sales,,0.945908852,5,,low,0.846959031,5
307,1,finance,,0.931231642,7,,medium,0.141091664,4
308,1,engineering,,0.536879417,2,,low,0.508276429,3
309,0,finance,,0.878855358,3,,medium,0.779446773,2
310,0,support,1,0.84912871,3,,medium,0.870789582,3
311,1,engineering,,0.788649514,6,,medium,0.055987864,5
312,0,support,,0.820126157,5,,low,0.743488397,2
313,0,IT,,0.838646297,4,,high,0.493856859,3
314,0,sales,,0.917810092,6,,medium,0.551003282,4
315,0,engineering,,1,3,,medium,0.812509061,2
316,0,support,,0.600515546,3,,high,0.876948222,2
317,0,sales,,,2,,low,0.175041589,3
318,1,marketing,,0.473579261,2,,low,0.386421451,3
319,0,IT,,0.673256353,4,,medium,0.663379467,2
320,0,sales,1,,5,,medium,0.75968504,3
321,0,engineering,,0.933865141,5,,high,0.640398816,2
322,1,engineering,,1,4,,low,0.92544886,6
323,0,,,0.730751178,3,,low,0.90494751,3
324,0,sales,,0.981718432,3,,low,0.82849542,3
325,0,engineering,,0.369245007,2,,medium,0.282134077,4
326,0,marketing,1,0.980276027,5,,low,0.734445991,4
327,0,engineering,,0.82104021,5,,low,0.938134351,3
328,0,IT,,0.497424602,3,,low,0.534208189,5
329,0,engineering,,0.687163281,3,,medium,0.820344466,2
330,0,support,,0.651745864,3,,medium,0.78066812,3
331,0,sales,,0.613536811,2,,low,0.812356586,2
332,0,product,,,3,,medium,0.692047182,3
333,0,IT,,0.751613475,5,,medium,0.751948372,4
334,0,,,0.708359723,3,,medium,0.754021371,2
335,1,sales,,1,5,,medium,0.928914977,6
336,0,sales,1,0.493111694,3,,low,0.644223236,2
337,0,sales,,0.816158789,2,,low,0.905410585,2
338,1,support,,0.935601244,6,,medium,0.177665058,5
339,0,sales,,0.95137173,4,,medium,0.941884497,3
340,0,sales,,0.889775427,4,,low,0.194289584,5
341,1,sales,1,0.501209658,2,,low,0.44417001,3
342,1,sales,,0.478650945,2,,medium,0.498347641,3
343,1,admin,,0.505404539,2,,low,0.451831955,3
344,0,sales,,,3,,low,0.568078977,2
345,0,engineering,,0.58576686,5,,medium,0.731081718,3
346,0,,,0.781038473,4,,medium,0.52875618,2
347,1,engineering,,0.542552918,2,,low,0.414887724,3
348,0,sales,,0.759678231,5,,high,0.595920716,3
349,0,temp,,,1,,medium,,
350,1,engineering,,0.843420423,4,,low,0.813121979,6
351,0,support,,0.766107319,3,,medium,0.788812376,2
352,0,sales,,0.411979487,5,,low,0.110744049,4
353,0,engineering,,0.547315072,3,,high,0.521734232,3
354,0,sales,,0.971187064,4,,low,0.80880377,2
355,0,support,,,3,,medium,0.783714978,3
356,0,sales,,,5,,low,0.947266481,2
357,1,sales,,0.992404549,5,,low,0.881872308,5
358,0,marketing,,0.548852484,4,,low,0.644169889,3
359,0,marketing,,0.630924087,5,,medium,0.621823213,4
360,0,sales,,0.524260525,4,,low,0.207366945,5
361,0,sales,1,0.679222178,3,,high,0.697381605,3
362,0,sales,,0.676053747,3,,low,0.351328514,2
363,0,engineering,1,0.79873264,3,,low,0.270826973,5
364,1,sales,,0.508931776,2,,low,0.407259341,3
365,0,engineering,,0.971517874,3,,low,0.620397288,10
366,1,engineering,,1,4,,medium,0.833914798,5
367,1,procurement,,0.485557419,2,,low,0.445788774,3
368,0,sales,,1,5,,medium,0.606315129,2
369,0,engineering,1,0.557127094,5,,low,0.833812004,3
370,0,IT,1,0.786409374,4,,medium,0.956516833,3
371,0,finance,,0.477688572,3,,low,0.548908319,3
372,1,product,,0.972940232,5,,low,0.780662177,6
373,0,engineering,,0.741481516,5,,low,0.759352064,4
374,0,marketing,,0.599513318,3,,medium,0.693813142,3
375,1,engineering,1,0.88596962,6,,low,0.067299255,5
376,1,,,0.555718259,2,,low,0.51104117,3
377,0,product,1,0.674986056,3,,medium,0.511395225,3
378,0,support,,0.973904456,4,,medium,0.612973587,3
379,1,IT,,,2,,low,0.347964565,3
380,1,engineering,,1,5,,low,0.738592455,5
381,0,support,1,0.620626613,3,,low,0.687738862,6
382,0,support,,0.926502829,3,,medium,0.765325192,3
383,0,sales,,0.940961681,5,,low,0.954677253,4
384,1,engineering,,0.520295533,2,,medium,0.374531039,3
385,0,finance,1,0.886970234,6,,medium,0.410271278,4
386,0,sales,,0.734374757,3,,medium,0.962208334,3
387,1,sales,,0.956014645,5,,low,0.839977629,5
388,0,admin,,,4,,low,0.509272071,3
389,1,finance,,0.462849878,2,,medium,0.435522751,3
390,0,management,,0.75736087,5,,high,0.669176181,10
391,0,support,1,0.765095163,5,,medium,0.296412233,4
392,1,support,,,2,,medium,0.441719407,3
393,1,sales,,,2,,low,0.445411197,3
394,1,,,0.517539541,2,,medium,0.423278538,3
395,0,support,,0.665489214,6,,low,0.440123424,5
396,1,management,1,0.612443964,2,,low,0.489455675,3
397,1,sales,,0.563007969,2,,low,0.433555868,3
398,0,IT,,0.669016319,4,,medium,0.559236788,2
399,0,engineering,,0.545444025,6,,low,0.655196422,6
400,0,,,0.691230981,5,,medium,0.700583973,3
401,1,information_technology,,0.543217289,2,,medium,0.442070474,3
402,0,marketing,,,3,,medium,0.564413214,2
403,0,marketing,,,3,,low,0.854874525,2
404,0,sales,,0.555218279,2,,low,0.327027198,3
405,0,support,,0.916496442,5,,low,0.913425235,3
406,0,management,,0.884772269,4,1,medium,0.526487653,7
407,1,support,,0.828781202,5,,low,0.789816233,5
408,0,admin,,0.777313904,4,,medium,0.814206238,3
409,0,finance,,0.976640448,5,1,high,0.560092558,8
410,1,support,,0.592461611,6,,high,0.198544636,4
411,1,engineering,,0.752473955,2,,low,0.358688144,4
412,0,engineering,,0.437324937,2,,medium,0.327954966,4
413,0,support,1,0.937910551,4,,medium,0.932798296,3
414,0,sales,,0.736919065,5,,low,0.299793505,2
415,0,IT,,0.732453524,3,,medium,0.556060519,3
416,0,sales,,0.785668408,3,,low,0.7049244,3
417,0,marketing,,0.922390811,6,,medium,0.815233738,2
418,1,support,,0.463615317,2,,low,0.390742693,3
419,0,support,1,0.657307554,3,,low,0.958934978,2
420,1,support,,0.817389344,4,,medium,0.745302345,6
421,0,sales,,0.617404417,4,,medium,0.712036819,2
422,0,marketing,,0.830448351,3,,medium,0.345651999,3
423,1,sales,,0.925526352,5,,low,0.294151065,2
424,0,support,,0.837229695,5,,low,0.629526156,3
425,0,finance,,0.812852228,3,,medium,0.608494054,10
426,0,finance,,0.872623013,3,,high,0.889926518,3
427,0,management,,0.672337212,4,,medium,0.540863182,2
428,0,sales,,0.859275451,4,,high,0.731532981,3
429,0,engineering,1,0.579733714,4,,medium,0.728960284,2
430,1,sales,1,0.500763298,2,,low,0.423381242,3
431,0,IT,,0.951272716,5,,medium,0.252660195,5
432,0,,,0.773991216,3,,medium,0.639586425,3
433,0,support,,0.480348135,5,,low,0.880059477,3
434,0,engineering,,0.53484706,5,,medium,0.834178485,3
435,1,engineering,,0.459486223,2,,low,0.388936249,3
436,0,engineering,1,0.766831042,4,,low,0.550338351,3
437,0,finance,,0.938822236,3,,medium,0.710353929,4
438,0,marketing,,0.901877326,5,,medium,0.993827688,2
439,0,engineering,,0.874238815,5,,low,0.481629751,2
440,0,support,,0.576683233,3,,medium,0.784948749,2
441,1,IT,,1,2,,medium,0.755369825,3
442,1,temp,,,2,,medium,,
443,0,sales,,0.877207115,3,,low,1,4
444,1,sales,,0.617175992,2,,low,0.393989479,3
445,0,,,0.562280517,3,,medium,0.797340592,3
446,0,engineering,,0.825529783,4,,medium,0.568072659,2
447,0,support,,0.756099669,4,,low,0.909445527,3
448,0,finance,,0.677102108,3,,medium,0.991939161,2
449,0,sales,,0.676955843,2,,low,0.895507009,2
450,0,engineering,,0.714006364,4,,low,0.685264501,4
451,0,sales,,0.74967197,4,,low,0.801603521,3
452,0,engineering,,0.633044129,2,,medium,0.652288625,3
453,0,finance,,0.858472391,4,,medium,0.70401782,2
454,0,sales,,0.779539008,3,,medium,0.692763621,4
455,0,sales,,0.522903512,4,,high,0.888119452,4
456,0,engineering,,0.881788167,4,,medium,0.985182807,3
457,0,temp,,,2,,low,,
458,0,information_technology,,0.841445493,5,,low,0.219769939,4
459,0,sales,,0.508320586,5,,medium,0.707250235,2
460,0,sales,,0.953944817,5,,high,0.881812728,4
461,0,sales,,0.48235485,5,,medium,0.825347735,3
462,0,admin,1,0.799742167,3,,low,0.810713426,3
463,0,sales,,0.759058321,4,,low,0.966334871,3
464,0,sales,,0.5364285,6,,low,0.255404871,4
465,0,engineering,,0.973801046,3,,medium,0.726406092,3
466,0,support,,,3,,medium,0.927016975,2
467,0,management,1,0.671339563,4,,high,0.585283571,3
468,0,support,,,2,,medium,0.821812807,2
469,1,sales,,0.874097129,4,,low,0.880217631,6
470,0,engineering,,0.733567644,5,,medium,0.541301166,5
471,0,engineering,,0.923105114,4,,medium,0.633758893,4
472,0,support,,0.807970751,5,,low,0.358591772,5
473,0,sales,,0.592396977,3,,medium,0.841573522,2
474,0,sales,1,0.602434044,4,,low,0.680816424,2
475,1,management,,0.487560526,2,,low,0.358375989,3
476,0,finance,,,4,,medium,0.562978305,3
477,1,support,1,0.902710937,5,,low,0.908655138,5
478,0,sales,1,0.675456665,4,,low,0.639945044,3
479,1,sales,,0.807118783,5,,low,0.730152267,6
480,1,sales,,0.503556242,2,,low,0.328296702,3
481,0,sales,,1,5,,medium,0.872868993,6
482,0,IT,,0.697879092,3,,medium,0.641698315,2
483,0,sales,,,3,,low,0.491071351,3
484,1,product,,0.555577028,2,,medium,0.500259332,3
485,1,product,,0.876972626,6,,low,0.066848617,4
486,0,IT,,0.785527091,3,,medium,1,2
487,0,IT,1,,4,,low,0.728042269,3
488,0,sales,,0.506779579,4,,low,0.854734098,3
489,0,sales,,0.408254955,3,,medium,0.573769865,6
490,0,engineering,,0.697944783,5,,low,0.607497866,4
491,0,finance,,0.914925388,4,,medium,0.673054985,4
492,0,management,1,,4,,low,0.865159534,3
493,0,engineering,,,3,,low,0.773133821,2
494,0,temp,1,,1,,medium,,
495,1,finance,1,0.945769929,4,,low,0.258896491,4
496,0,support,,0.986776503,3,,medium,0.60047156,3
497,0,finance,,0.765561984,3,,low,0.568422232,2
498,0,support,,0.745249515,3,,medium,0.528644856,3
499,0,marketing,,0.508058934,6,,medium,0.218737624,4
500,1,IT,,,2,,medium,0.356475624,3
501,0,sales,,0.995470367,3,,low,0.93011513,3
502,0,support,1,0.973730588,3,,medium,0.964416801,3
503,0,product,,0.914047052,4,,low,0.723210967,2
504,0,support,,0.64386545,5,,low,0.761153325,3
505,0,sales,,0.748130619,4,,high,0.762597294,3
506,1,engineering,,0.631158856,2,,low,0.693183067,3
507,0,engineering,,0.569214514,3,,medium,0.753154882,2
508,0,engineering,,0.591407643,3,,low,0.237438066,2
509,0,sales,,0.770642598,6,,medium,0.835060684,5
510,1,sales,,0.857788896,5,,low,0.802307348,5
511,0,product,,0.799301749,3,,medium,0.896606449,3
512,1,sales,,0.890931296,5,,medium,0.831462863,6
513,0,sales,1,0.940621427,4,1,medium,0.647585758,3
514,0,sales,1,0.529640674,5,,medium,0.543303928,3
515,0,sales,,0.332260604,5,,low,0.983792301,3
516,0,product,,0.990660015,3,,low,0.883764843,2
517,1,information_technology,,1,3,,medium,0.164771882,4
518,0,support,,,3,,low,0.999704169,2
519,1,product,,0.536087746,2,,medium,0.352268931,3
520,1,product,,0.914559427,5,,low,0.894390055,6
521,1,sales,,0.442085218,2,,low,0.404639982,3
